NSample,Dimension,Distribution,prob
40,410,GaussianBiased,0.985
40,410,Bernoulli,0.96
40,410,Laplacian,0.945
40,410,Radamacher,0.955
40,420,Uniform,0.9675
40,420,Gaussian,0.965
40,420,GaussianBiased,0.975
40,420,Bernoulli,0.96
40,420,Laplacian,0.9525
40,420,Radamacher,0.95
40,430,Uniform,0.9725
40,430,Gaussian,0.97
40,430,GaussianBiased,0.9875
40,430,Bernoulli,0.975
40,430,Laplacian,0.9675
40,430,Radamacher,0.98
40,440,Uniform,0.9825
40,440,Gaussian,0.9775
40,440,GaussianBiased,0.975
40,440,Bernoulli,0.99
40,440,Laplacian,0.96
40,440,Radamacher,0.9775
40,450,Uniform,0.97
40,450,Gaussian,0.9725
40,450,GaussianBiased,0.9775
40,450,Bernoulli,0.9875
40,450,Laplacian,0.97
40,450,Radamacher,0.995
40,460,Uniform,0.98
40,460,Gaussian,0.9725
40,460,GaussianBiased,0.9825
40,460,Bernoulli,0.9875
40,460,Laplacian,0.9775
40,460,Radamacher,0.985
40,470,Uniform,0.98
40,470,Gaussian,0.98
40,470,GaussianBiased,0.9825
40,470,Bernoulli,0.9925
40,470,Laplacian,0.98
40,470,Radamacher,0.9875
40,480,Uniform,0.98
40,480,Gaussian,0.98
40,480,GaussianBiased,0.985
40,480,Bernoulli,0.985
40,480,Laplacian,0.9925
40,480,Radamacher,0.9875
40,490,Uniform,0.985
40,490,Gaussian,0.985
40,490,GaussianBiased,0.9875
40,490,Bernoulli,0.975
40,490,Laplacian,0.985
40,490,Radamacher,0.99
40,500,Uniform,0.9825
40,500,Gaussian,0.99
40,500,GaussianBiased,0.9925
40,500,Bernoulli,0.9875
40,500,Laplacian,0.985
40,500,Radamacher,0.9925
40,510,Uniform,0.9925
40,510,Gaussian,0.99
40,510,GaussianBiased,0.99
40,510,Bernoulli,0.9875
40,510,Laplacian,0.97
40,510,Radamacher,0.99
40,520,Uniform,0.9925
40,520,Gaussian,0.9975
40,520,GaussianBiased,0.995
40,520,Bernoulli,0.9975
40,520,Laplacian,0.98
40,520,Radamacher,0.98
40,530,Uniform,0.9875
40,530,Gaussian,0.995
40,530,GaussianBiased,0.9925
