NSample,Dimension,Distribution,prob
40,100,Gaussian,0.0
40,110,Gaussian,0.02
40,120,Gaussian,0.06
40,130,Gaussian,0.0
40,140,Gaussian,0.08
40,150,Gaussian,0.18
40,160,Gaussian,0.24
40,170,Gaussian,0.26
40,180,Gaussian,0.3
40,190,Gaussian,0.38
40,200,Gaussian,0.44
40,210,Gaussian,0.5
40,220,Gaussian,0.54
40,230,Gaussian,0.56
40,240,Gaussian,0.68
40,250,Gaussian,0.66
40,260,Gaussian,0.7
40,270,Gaussian,0.78
40,280,Gaussian,0.74
40,290,Gaussian,0.76
40,300,Gaussian,0.88
40,310,Gaussian,0.96
40,320,Gaussian,0.78
40,330,Gaussian,0.82
40,340,Gaussian,0.9
40,350,Gaussian,0.92
40,360,Gaussian,0.94
40,370,Gaussian,0.88
40,380,Gaussian,0.94
40,390,Gaussian,0.94
40,400,Gaussian,0.94
40,410,Gaussian,0.96
40,420,Gaussian,0.98
40,430,Gaussian,0.98
40,440,Gaussian,0.94
40,450,Gaussian,0.98
40,460,Gaussian,1.0
40,470,Gaussian,0.98
40,480,Gaussian,0.94
40,490,Gaussian,1.0
40,500,Gaussian,1.0
40,510,Gaussian,1.0
40,520,Gaussian,1.0
40,530,Gaussian,1.0
40,540,Gaussian,1.0
40,550,Gaussian,0.98
40,560,Gaussian,1.0
40,570,Gaussian,1.0
40,580,Gaussian,1.0
40,590,Gaussian,1.0
40,600,Gaussian,1.0
40,610,Gaussian,1.0
40,620,Gaussian,1.0
40,630,Gaussian,1.0
40,640,Gaussian,1.0
40,650,Gaussian,1.0
40,660,Gaussian,1.0
40,670,Gaussian,1.0
40,680,Gaussian,1.0
40,690,Gaussian,1.0
40,700,Gaussian,1.0
40,710,Gaussian,1.0
40,720,Gaussian,1.0
40,730,Gaussian,1.0
40,740,Gaussian,1.0
40,750,Gaussian,1.0
40,760,Gaussian,1.0
40,770,Gaussian,1.0
40,780,Gaussian,1.0
40,790,Gaussian,1.0
40,800,Gaussian,1.0
40,810,Gaussian,1.0
40,820,Gaussian,1.0
40,830,Gaussian,1.0
40,840,Gaussian,1.0
40,850,Gaussian,1.0
40,860,Gaussian,1.0
40,870,Gaussian,1.0
40,880,Gaussian,1.0
40,890,Gaussian,1.0
40,900,Gaussian,1.0
40,910,Gaussian,1.0
40,920,Gaussian,1.0
40,930,Gaussian,1.0
40,940,Gaussian,1.0
40,950,Gaussian,1.0
40,960,Gaussian,1.0
40,970,Gaussian,1.0
40,980,Gaussian,1.0
40,990,Gaussian,1.0
42,100,Gaussian,0.0
42,110,Gaussian,0.04
42,120,Gaussian,0.04
42,130,Gaussian,0.04
42,140,Gaussian,0.06
42,150,Gaussian,0.06
42,160,Gaussian,0.18
42,170,Gaussian,0.14
42,180,Gaussian,0.22
42,190,Gaussian,0.3
42,200,Gaussian,0.38
42,210,Gaussian,0.28
42,220,Gaussian,0.44
42,230,Gaussian,0.48
42,240,Gaussian,0.46
42,250,Gaussian,0.54
42,260,Gaussian,0.58
42,270,Gaussian,0.74
42,280,Gaussian,0.66
42,290,Gaussian,0.72
42,300,Gaussian,0.82
42,310,Gaussian,0.78
42,320,Gaussian,0.76
42,330,Gaussian,0.84
42,340,Gaussian,0.84
42,350,Gaussian,0.88
42,360,Gaussian,0.88
42,370,Gaussian,0.88
42,380,Gaussian,0.9
42,390,Gaussian,0.88
42,400,Gaussian,0.88
42,410,Gaussian,0.98
42,420,Gaussian,0.98
42,430,Gaussian,1.0
42,440,Gaussian,0.96
42,450,Gaussian,0.98
42,460,Gaussian,0.98
42,470,Gaussian,0.96
42,480,Gaussian,0.98
42,490,Gaussian,1.0
42,500,Gaussian,0.98
42,510,Gaussian,1.0
42,520,Gaussian,1.0
42,530,Gaussian,1.0
42,540,Gaussian,1.0
42,550,Gaussian,0.98
42,560,Gaussian,1.0
42,570,Gaussian,1.0
42,580,Gaussian,1.0
42,590,Gaussian,1.0
42,600,Gaussian,1.0
42,610,Gaussian,1.0
42,620,Gaussian,1.0
42,630,Gaussian,0.98
42,640,Gaussian,1.0
42,650,Gaussian,1.0
42,660,Gaussian,1.0
42,670,Gaussian,1.0
42,680,Gaussian,1.0
42,690,Gaussian,1.0
42,700,Gaussian,1.0
42,710,Gaussian,1.0
42,720,Gaussian,1.0
42,730,Gaussian,1.0
42,740,Gaussian,1.0
42,750,Gaussian,1.0
42,760,Gaussian,1.0
42,770,Gaussian,1.0
42,780,Gaussian,1.0
42,790,Gaussian,1.0
42,800,Gaussian,1.0
42,810,Gaussian,1.0
42,820,Gaussian,1.0
42,830,Gaussian,1.0
42,840,Gaussian,1.0
42,850,Gaussian,1.0
42,860,Gaussian,1.0
42,870,Gaussian,1.0
