NSample,Dimension,Distribution,prob
44,200,Gaussian,0.24625
44,210,Gaussian,0.315
44,220,Gaussian,0.36
44,230,Gaussian,0.42125
44,240,Gaussian,0.45625
44,250,Gaussian,0.53125
44,260,Gaussian,0.59375
44,270,Gaussian,0.62375
44,280,Gaussian,0.62125
44,290,Gaussian,0.67125
44,300,Gaussian,0.735
44,310,Gaussian,0.735
44,320,Gaussian,0.75625
44,330,Gaussian,0.79
44,340,Gaussian,0.845
44,350,Gaussian,0.845
44,360,Gaussian,0.86125
44,370,Gaussian,0.8875
44,380,Gaussian,0.89875
44,390,Gaussian,0.87875
44,400,Gaussian,0.90875
44,410,Gaussian,0.91375
44,420,Gaussian,0.92875
44,430,Gaussian,0.92
44,440,Gaussian,0.94625
44,450,Gaussian,0.9425
44,460,Gaussian,0.95625
44,470,Gaussian,0.97
44,480,Gaussian,0.96625
44,490,Gaussian,0.94875
44,500,Gaussian,0.97125
44,510,Gaussian,0.98
44,520,Gaussian,0.975
44,530,Gaussian,0.9825
44,540,Gaussian,0.98875
44,550,Gaussian,0.985
44,560,Gaussian,0.9925
44,570,Gaussian,0.98375
44,580,Gaussian,0.98625
44,590,Gaussian,0.99375
44,600,Gaussian,0.99125
44,610,Gaussian,0.99125
44,620,Gaussian,0.99625
44,630,Gaussian,0.99
44,640,Gaussian,0.99625
44,650,Gaussian,0.99375
44,660,Gaussian,0.99375
44,670,Gaussian,0.99625
44,680,Gaussian,0.995
44,690,Gaussian,1.0
44,700,Gaussian,0.9975
44,710,Gaussian,0.99375
44,720,Gaussian,0.99875
44,730,Gaussian,1.0
44,740,Gaussian,0.99875
44,750,Gaussian,1.0
44,760,Gaussian,0.9975
44,770,Gaussian,0.99875
44,780,Gaussian,1.0
44,790,Gaussian,1.0
44,800,Gaussian,0.99875
44,810,Gaussian,0.99875
44,820,Gaussian,1.0
44,830,Gaussian,0.99875
44,840,Gaussian,1.0
44,850,Gaussian,1.0
44,860,Gaussian,0.99875
44,870,Gaussian,1.0
44,880,Gaussian,1.0
44,890,Gaussian,0.99875
44,900,Gaussian,1.0
44,910,Gaussian,1.0
44,920,Gaussian,1.0
44,930,Gaussian,1.0
44,940,Gaussian,1.0
44,950,Gaussian,1.0
44,960,Gaussian,1.0
44,970,Gaussian,1.0
44,980,Gaussian,1.0
44,990,Gaussian,1.0
46,100,Gaussian,0.0
46,110,Gaussian,0.0025
46,120,Gaussian,0.005
46,130,Gaussian,0.00875
46,140,Gaussian,0.02
46,150,Gaussian,0.03875
46,160,Gaussian,0.05875
46,170,Gaussian,0.09875
46,180,Gaussian,0.13625
46,190,Gaussian,0.18
46,200,Gaussian,0.19
46,210,Gaussian,0.255
46,220,Gaussian,0.3325
46,230,Gaussian,0.34
