NSample,Dimension,Distribution,prob
44,230,Gaussian,0.4225
44,240,Gaussian,0.485
44,250,Gaussian,0.5725
44,260,Gaussian,0.575
44,270,Gaussian,0.6525
44,280,Gaussian,0.62
44,290,Gaussian,0.65
44,300,Gaussian,0.6975
44,310,Gaussian,0.755
44,320,Gaussian,0.7725
44,330,Gaussian,0.79
44,340,Gaussian,0.805
44,350,Gaussian,0.805
44,360,Gaussian,0.8825
44,370,Gaussian,0.8875
44,380,Gaussian,0.865
44,390,Gaussian,0.8975
44,400,Gaussian,0.92
44,410,Gaussian,0.9475
44,420,Gaussian,0.905
44,430,Gaussian,0.9375
44,440,Gaussian,0.95
44,450,Gaussian,0.9575
44,460,Gaussian,0.965
44,470,Gaussian,0.9625
44,480,Gaussian,0.9525
44,490,Gaussian,0.975
44,500,Gaussian,0.9825
44,510,Gaussian,0.9825
44,520,Gaussian,0.9825
44,530,Gaussian,0.975
44,540,Gaussian,0.9825
44,550,Gaussian,0.9875
44,560,Gaussian,0.995
44,570,Gaussian,0.9975
44,580,Gaussian,0.9875
44,590,Gaussian,0.9925
44,600,Gaussian,1.0
44,610,Gaussian,0.9875
44,620,Gaussian,1.0
44,630,Gaussian,1.0
44,640,Gaussian,0.99
44,650,Gaussian,0.9975
44,660,Gaussian,0.9975
44,670,Gaussian,1.0
44,680,Gaussian,0.9975
44,690,Gaussian,1.0
44,700,Gaussian,1.0
44,710,Gaussian,0.9975
44,720,Gaussian,1.0
44,730,Gaussian,1.0
44,740,Gaussian,1.0
44,750,Gaussian,1.0
44,760,Gaussian,1.0
44,770,Gaussian,1.0
44,780,Gaussian,1.0
44,790,Gaussian,1.0
44,800,Gaussian,1.0
44,810,Gaussian,0.9975
44,820,Gaussian,1.0
44,830,Gaussian,0.9975
44,840,Gaussian,1.0
44,850,Gaussian,1.0
44,860,Gaussian,1.0
44,870,Gaussian,1.0
44,880,Gaussian,1.0
44,890,Gaussian,1.0
44,900,Gaussian,1.0
44,910,Gaussian,1.0
44,920,Gaussian,1.0
44,930,Gaussian,1.0
44,940,Gaussian,0.9975
44,950,Gaussian,1.0
44,960,Gaussian,1.0
44,970,Gaussian,1.0
44,980,Gaussian,1.0
44,990,Gaussian,1.0
46,100,Gaussian,0.0
46,110,Gaussian,0.005
46,120,Gaussian,0.0025
46,130,Gaussian,0.005
46,140,Gaussian,0.015
46,150,Gaussian,0.0675
46,160,Gaussian,0.06
46,170,Gaussian,0.055
46,180,Gaussian,0.1475
46,190,Gaussian,0.1425
46,200,Gaussian,0.225
46,210,Gaussian,0.25
46,220,Gaussian,0.28
46,230,Gaussian,0.3325
46,240,Gaussian,0.385
46,250,Gaussian,0.4775
46,260,Gaussian,0.5
46,270,Gaussian,0.54
46,280,Gaussian,0.62
46,290,Gaussian,0.6325
46,300,Gaussian,0.675
46,310,Gaussian,0.6525
46,320,Gaussian,0.6925
46,330,Gaussian,0.73
46,340,Gaussian,0.785
46,350,Gaussian,0.7925
46,360,Gaussian,0.815
46,370,Gaussian,0.8375
46,380,Gaussian,0.845
46,390,Gaussian,0.8725
46,400,Gaussian,0.875
46,410,Gaussian,0.92
46,420,Gaussian,0.915
46,430,Gaussian,0.9025
46,440,Gaussian,0.935
46,450,Gaussian,0.9225
46,460,Gaussian,0.9425
46,470,Gaussian,0.95
46,480,Gaussian,0.9575
46,490,Gaussian,0.96
46,500,Gaussian,0.9725
46,510,Gaussian,0.965
46,520,Gaussian,0.99
46,530,Gaussian,0.965
46,540,Gaussian,0.9625
46,550,Gaussian,0.975
46,560,Gaussian,0.9875
46,570,Gaussian,0.985
46,580,Gaussian,0.9875
46,590,Gaussian,0.9825
46,600,Gaussian,0.9825
46,610,Gaussian,0.985
46,620,Gaussian,0.995
46,630,Gaussian,0.99
46,640,Gaussian,0.995
46,650,Gaussian,1.0
46,660,Gaussian,0.9925
46,670,Gaussian,0.9975
46,680,Gaussian,1.0
46,690,Gaussian,0.9975
46,700,Gaussian,0.9975
46,710,Gaussian,1.0
46,720,Gaussian,0.9975
46,730,Gaussian,0.995
46,740,Gaussian,0.995
46,750,Gaussian,1.0
46,760,Gaussian,0.9975
46,770,Gaussian,0.995
46,780,Gaussian,0.9975
46,790,Gaussian,1.0
46,800,Gaussian,1.0
46,810,Gaussian,1.0
46,820,Gaussian,0.9975
46,830,Gaussian,1.0
46,840,Gaussian,1.0
46,850,Gaussian,1.0
46,860,Gaussian,1.0
46,870,Gaussian,1.0
46,880,Gaussian,1.0
46,890,Gaussian,1.0
46,900,Gaussian,1.0
46,910,Gaussian,1.0
46,920,Gaussian,1.0
46,930,Gaussian,1.0
46,940,Gaussian,1.0
46,950,Gaussian,1.0
46,960,Gaussian,1.0
46,970,Gaussian,1.0
46,980,Gaussian,1.0
46,990,Gaussian,1.0
48,100,Gaussian,0.0
48,110,Gaussian,0.0
48,120,Gaussian,0.0025
48,130,Gaussian,0.0075
48,140,Gaussian,0.005
48,150,Gaussian,0.0225
48,160,Gaussian,0.0425
48,170,Gaussian,0.0625
48,180,Gaussian,0.0875
48,190,Gaussian,0.125
48,200,Gaussian,0.15
48,210,Gaussian,0.1875
48,220,Gaussian,0.275
48,230,Gaussian,0.265
48,240,Gaussian,0.3625
48,250,Gaussian,0.42
48,260,Gaussian,0.4325
48,270,Gaussian,0.455
48,280,Gaussian,0.485
48,290,Gaussian,0.585
48,300,Gaussian,0.6225
48,310,Gaussian,0.615
48,320,Gaussian,0.65
48,330,Gaussian,0.6675
48,340,Gaussian,0.715
48,350,Gaussian,0.7775
48,360,Gaussian,0.775
48,370,Gaussian,0.8175
48,380,Gaussian,0.81
48,390,Gaussian,0.85
48,400,Gaussian,0.87
48,410,Gaussian,0.845
48,420,Gaussian,0.89
48,430,Gaussian,0.9025
48,440,Gaussian,0.9
48,450,Gaussian,0.8975
48,460,Gaussian,0.925
48,470,Gaussian,0.94
48,480,Gaussian,0.9425
48,490,Gaussian,0.9375
48,500,Gaussian,0.945
48,510,Gaussian,0.9675
48,520,Gaussian,0.975
48,530,Gaussian,0.9875
48,540,Gaussian,0.9775
48,550,Gaussian,0.9725
48,560,Gaussian,0.9725
48,570,Gaussian,0.985
48,580,Gaussian,0.9925
48,590,Gaussian,0.9875
48,600,Gaussian,0.975
48,610,Gaussian,0.9725
48,620,Gaussian,0.9975
48,630,Gaussian,0.9925
48,640,Gaussian,0.99
48,650,Gaussian,0.9975
48,660,Gaussian,0.9925
48,670,Gaussian,0.9875
48,680,Gaussian,0.9975
48,690,Gaussian,0.9925
48,700,Gaussian,0.995
48,710,Gaussian,0.9975
48,720,Gaussian,1.0
48,730,Gaussian,1.0
48,740,Gaussian,1.0
48,750,Gaussian,1.0
48,760,Gaussian,0.9975
48,770,Gaussian,0.9975
48,780,Gaussian,0.9975
48,790,Gaussian,0.9975
48,800,Gaussian,1.0
48,810,Gaussian,1.0
48,820,Gaussian,1.0
48,830,Gaussian,0.9975
48,840,Gaussian,0.995
48,850,Gaussian,1.0
48,860,Gaussian,0.9975
48,870,Gaussian,1.0
